statistic	virus	time	lower	mean	upper
xdrift	Vic	2007	0.201414	0.385098	0.574546
xdrift	Vic	2008	1.14123	1.36883	1.59261
xdrift	Vic	2009	0.822478	1.02498	1.22765
xdrift	Vic	2010	1.24853	1.40368	1.56159
xdrift	Vic	2011	-0.504232	-0.352658	-0.208851
xdrift	Yam	1987	0.133144	0.294212	0.453782
xdrift	Yam	1988	0.0650784	0.240599	0.414957
xdrift	Yam	1989	-0.582081	-0.285453	0.0166306
xdrift	Yam	1990	0.280678	0.447984	0.616798
xdrift	Yam	1991	0.669197	0.901822	1.13252
xdrift	Yam	1992	0.209909	0.411921	0.604771
xdrift	Yam	1993	0.271468	0.410553	0.539735
xdrift	Yam	1994	0.450173	0.612413	0.773473
xdrift	Yam	1995	-0.451739	-0.109329	0.219112
xdrift	Yam	1996	0.0632975	0.272869	0.488553
xdrift	Yam	1997	0.120272	0.312052	0.498651
xdrift	Yam	1998	0.188884	0.339204	0.485223
xdrift	Yam	1999	0.0298671	0.171629	0.30828
xdrift	Yam	2000	0.122209	0.304214	0.467003
xdrift	Yam	2001	0.06456	0.249772	0.432518
xdrift	Yam	2002	-0.186857	0.0142857	0.207303
xdrift	Yam	2003	-0.370907	-0.115676	0.151582
xdrift	Yam	2004	0.225086	0.399547	0.575007
xdrift	Yam	2005	0.204485	0.36761	0.528363
xdrift	Yam	2006	0.443844	0.685634	0.927738
xdrift	Yam	2007	0.24354	0.408921	0.568656
xdrift	Yam	2008	0.613693	0.784376	0.959596
xdrift	Yam	2009	0.705651	0.849278	0.98235
xdrift	Yam	2010	0.0356721	0.161	0.281054
xdrift	Yam	2011	0.203322	0.353096	0.505647
