colName	rowName	seraName	virusName	seraYear	virusYear	titer	source
A/Wis67/05	A/Wisconsin/67/2005	A/Wisconsin/67/2005	A/Wisconsin/67/2005	2005	2005	5120	Barr2010
A/Trieste25c/07	A/Wisconsin/67/2005	A/Trieste/25c/2007	A/Wisconsin/67/2005	2007	2005	5120	Barr2010
A/Wis3/07	A/Wisconsin/67/2005	A/Wisconsin/3/2007	A/Wisconsin/67/2005	2007	2005	1280	Barr2010
A/Bris10/07	A/Wisconsin/67/2005	A/Brisbane/10/2007	A/Wisconsin/67/2005	2007	2005	5120	Barr2010
A/Uru716/07	A/Wisconsin/67/2005	A/Uruguay/716/2007	A/Wisconsin/67/2005	2007	2005	5120	Barr2010
A/JHB15/08	A/Wisconsin/67/2005	A/Johannesburg/15/2008	A/Wisconsin/67/2005	2008	2005	2560	Barr2010
A/Eng394/08	A/Wisconsin/67/2005	A/England/394/2008	A/Wisconsin/67/2005	2008	2005	320	Barr2010
A/Bris24/08	A/Wisconsin/67/2005	A/Brisbane/24/2008	A/Wisconsin/67/2005	2008	2005	5120	Barr2010
A/Wis67/05	A/Trieste/25c/2007	A/Wisconsin/67/2005	A/Trieste/25c/2007	2005	2007	<40	Barr2010
A/Trieste25c/07	A/Trieste/25c/2007	A/Trieste/25c/2007	A/Trieste/25c/2007	2007	2007	80	Barr2010
A/Wis3/07	A/Trieste/25c/2007	A/Wisconsin/3/2007	A/Trieste/25c/2007	2007	2007	160	Barr2010
A/Bris10/07	A/Trieste/25c/2007	A/Brisbane/10/2007	A/Trieste/25c/2007	2007	2007	320	Barr2010
A/Uru716/07	A/Trieste/25c/2007	A/Uruguay/716/2007	A/Trieste/25c/2007	2007	2007	640	Barr2010
A/JHB15/08	A/Trieste/25c/2007	A/Johannesburg/15/2008	A/Trieste/25c/2007	2008	2007	80	Barr2010
A/Eng394/08	A/Trieste/25c/2007	A/England/394/2008	A/Trieste/25c/2007	2008	2007	160	Barr2010
A/Bris24/08	A/Trieste/25c/2007	A/Brisbane/24/2008	A/Trieste/25c/2007	2008	2007	160	Barr2010
A/Wis67/05	A/Wisconsin/3/2007	A/Wisconsin/67/2005	A/Wisconsin/3/2007	2005	2007	5120	Barr2010
A/Trieste25c/07	A/Wisconsin/3/2007	A/Trieste/25c/2007	A/Wisconsin/3/2007	2007	2007	5120	Barr2010
A/Wis3/07	A/Wisconsin/3/2007	A/Wisconsin/3/2007	A/Wisconsin/3/2007	2007	2007	5120	Barr2010
A/Bris10/07	A/Wisconsin/3/2007	A/Brisbane/10/2007	A/Wisconsin/3/2007	2007	2007	5120	Barr2010
A/Uru716/07	A/Wisconsin/3/2007	A/Uruguay/716/2007	A/Wisconsin/3/2007	2007	2007	5120	Barr2010
A/JHB15/08	A/Wisconsin/3/2007	A/Johannesburg/15/2008	A/Wisconsin/3/2007	2008	2007	2560	Barr2010
A/Eng394/08	A/Wisconsin/3/2007	A/England/394/2008	A/Wisconsin/3/2007	2008	2007	1280	Barr2010
A/Bris24/08	A/Wisconsin/3/2007	A/Brisbane/24/2008	A/Wisconsin/3/2007	2008	2007	5120	Barr2010
A/Wis67/05	A/Brisbane/10/2007	A/Wisconsin/67/2005	A/Brisbane/10/2007	2005	2007	2560	Barr2010
A/Trieste25c/07	A/Brisbane/10/2007	A/Trieste/25c/2007	A/Brisbane/10/2007	2007	2007	5120	Barr2010
A/Wis3/07	A/Brisbane/10/2007	A/Wisconsin/3/2007	A/Brisbane/10/2007	2007	2007	640	Barr2010
A/Bris10/07	A/Brisbane/10/2007	A/Brisbane/10/2007	A/Brisbane/10/2007	2007	2007	5120	Barr2010
A/Uru716/07	A/Brisbane/10/2007	A/Uruguay/716/2007	A/Brisbane/10/2007	2007	2007	5120	Barr2010
A/JHB15/08	A/Brisbane/10/2007	A/Johannesburg/15/2008	A/Brisbane/10/2007	2008	2007	2560	Barr2010
A/Eng394/08	A/Brisbane/10/2007	A/England/394/2008	A/Brisbane/10/2007	2008	2007	320	Barr2010
A/Bris24/08	A/Brisbane/10/2007	A/Brisbane/24/2008	A/Brisbane/10/2007	2008	2007	5120	Barr2010
A/Wis67/05	A/Uruguay/716/2007	A/Wisconsin/67/2005	A/Uruguay/716/2007	2005	2007	2560	Barr2010
A/Trieste25c/07	A/Uruguay/716/2007	A/Trieste/25c/2007	A/Uruguay/716/2007	2007	2007	2560	Barr2010
A/Wis3/07	A/Uruguay/716/2007	A/Wisconsin/3/2007	A/Uruguay/716/2007	2007	2007	640	Barr2010
A/Bris10/07	A/Uruguay/716/2007	A/Brisbane/10/2007	A/Uruguay/716/2007	2007	2007	2560	Barr2010
A/Uru716/07	A/Uruguay/716/2007	A/Uruguay/716/2007	A/Uruguay/716/2007	2007	2007	5120	Barr2010
A/JHB15/08	A/Uruguay/716/2007	A/Johannesburg/15/2008	A/Uruguay/716/2007	2008	2007	1280	Barr2010
A/Eng394/08	A/Uruguay/716/2007	A/England/394/2008	A/Uruguay/716/2007	2008	2007	320	Barr2010
A/Bris24/08	A/Uruguay/716/2007	A/Brisbane/24/2008	A/Uruguay/716/2007	2008	2007	2560	Barr2010
A/Wis67/05	A/Johannesburg/15/2008	A/Wisconsin/67/2005	A/Johannesburg/15/2008	2005	2008	<40	Barr2010
A/Trieste25c/07	A/Johannesburg/15/2008	A/Trieste/25c/2007	A/Johannesburg/15/2008	2007	2008	160	Barr2010
A/Wis3/07	A/Johannesburg/15/2008	A/Wisconsin/3/2007	A/Johannesburg/15/2008	2007	2008	160	Barr2010
A/Bris10/07	A/Johannesburg/15/2008	A/Brisbane/10/2007	A/Johannesburg/15/2008	2007	2008	320	Barr2010
A/Uru716/07	A/Johannesburg/15/2008	A/Uruguay/716/2007	A/Johannesburg/15/2008	2007	2008	320	Barr2010
A/JHB15/08	A/Johannesburg/15/2008	A/Johannesburg/15/2008	A/Johannesburg/15/2008	2008	2008	160	Barr2010
A/Eng394/08	A/Johannesburg/15/2008	A/England/394/2008	A/Johannesburg/15/2008	2008	2008	160	Barr2010
A/Bris24/08	A/Johannesburg/15/2008	A/Brisbane/24/2008	A/Johannesburg/15/2008	2008	2008	160	Barr2010
A/Wis67/05	A/England/394/2008	A/Wisconsin/67/2005	A/England/394/2008	2005	2008	80	Barr2010
A/Trieste25c/07	A/England/394/2008	A/Trieste/25c/2007	A/England/394/2008	2007	2008	320	Barr2010
A/Wis3/07	A/England/394/2008	A/Wisconsin/3/2007	A/England/394/2008	2007	2008	320	Barr2010
A/Bris10/07	A/England/394/2008	A/Brisbane/10/2007	A/England/394/2008	2007	2008	640	Barr2010
A/Uru716/07	A/England/394/2008	A/Uruguay/716/2007	A/England/394/2008	2007	2008	320	Barr2010
A/JHB15/08	A/England/394/2008	A/Johannesburg/15/2008	A/England/394/2008	2008	2008	320	Barr2010
A/Eng394/08	A/England/394/2008	A/England/394/2008	A/England/394/2008	2008	2008	640	Barr2010
A/Bris24/08	A/England/394/2008	A/Brisbane/24/2008	A/England/394/2008	2008	2008	320	Barr2010
A/Wis67/05	A/Brisbane/24/2008	A/Wisconsin/67/2005	A/Brisbane/24/2008	2005	2008	2560	Barr2010
A/Trieste25c/07	A/Brisbane/24/2008	A/Trieste/25c/2007	A/Brisbane/24/2008	2007	2008	5120	Barr2010
A/Wis3/07	A/Brisbane/24/2008	A/Wisconsin/3/2007	A/Brisbane/24/2008	2007	2008	2560	Barr2010
A/Bris10/07	A/Brisbane/24/2008	A/Brisbane/10/2007	A/Brisbane/24/2008	2007	2008	5120	Barr2010
A/Uru716/07	A/Brisbane/24/2008	A/Uruguay/716/2007	A/Brisbane/24/2008	2007	2008	5120	Barr2010
A/JHB15/08	A/Brisbane/24/2008	A/Johannesburg/15/2008	A/Brisbane/24/2008	2008	2008	5120	Barr2010
A/Eng394/08	A/Brisbane/24/2008	A/England/394/2008	A/Brisbane/24/2008	2008	2008	640	Barr2010
A/Bris24/08	A/Brisbane/24/2008	A/Brisbane/24/2008	A/Brisbane/24/2008	2008	2008	5120	Barr2010
A/Wis67/05	A/Norway/1/2009	A/Wisconsin/67/2005	A/Norway/1/2009	2005	2009	1280	Barr2010
A/Trieste25c/07	A/Norway/1/2009	A/Trieste/25c/2007	A/Norway/1/2009	2007	2009	2560	Barr2010
